Iris database,1=Iris-versicolor
sample,class,sepal length,sepal width,petal length,petal width
51,0,7,3.2,4.7,1.4
52,0,6.4,3.2,4.5,1.5
53,0,6.9,3.1,4.9,1.5
54,0,5.5,2.3,4,1.3
55,0,6.5,2.8,4.6,1.5
56,0,5.7,2.8,4.5,1.3
57,0,6.3,3.3,4.7,1.6
58,0,4.9,2.4,3.3,1
59,0,6.6,2.9,4.6,1.3
60,0,5.2,2.7,3.9,1.4
61,0,5,2,3.5,1
62,0,5.9,3,4.2,1.5
63,0,6,2.2,4,1
64,0,6.1,2.9,4.7,1.4
65,0,5.6,2.9,3.6,1.3
66,0,6.7,3.1,4.4,1.4
67,0,5.6,3,4.5,1.5
68,0,5.8,2.7,4.1,1
69,0,6.2,2.2,4.5,1.5
70,0,5.6,2.5,3.9,1.1
71,0,5.9,3.2,4.8,1.8
72,0,6.1,2.8,4,1.3
73,0,6.3,2.5,4.9,1.5
74,0,6.1,2.8,4.7,1.2
75,0,6.4,2.9,4.3,1.3
76,0,6.6,3,4.4,1.4
77,0,6.8,2.8,4.8,1.4
78,0,6.7,3,5,1.7
79,0,6,2.9,4.5,1.5
80,0,5.7,2.6,3.5,1
81,0,5.5,2.4,3.8,1.1
82,0,5.5,2.4,3.7,1
83,0,5.8,2.7,3.9,1.2
84,0,6,2.7,5.1,1.6
85,0,5.4,3,4.5,1.5
86,0,6,3.4,4.5,1.6
87,0,6.7,3.1,4.7,1.5
88,0,6.3,2.3,4.4,1.3
89,0,5.6,3,4.1,1.3
90,0,5.5,2.5,4,1.3
91,0,5.5,2.6,4.4,1.2
92,0,6.1,3,4.6,1.4
93,0,5.8,2.6,4,1.2
94,0,5,2.3,3.3,1
95,0,5.6,2.7,4.2,1.3
96,0,5.7,3,4.2,1.2
97,0,5.7,2.9,4.2,1.3
98,0,6.2,2.9,4.3,1.3
99,0,5.1,2.5,3,1.1
100,0,5.7,2.8,4.1,1.3
